카테고리,상품명,규격,가격,출처,상품코드
거즈/붕대/탈지면,NEW 수성멸균거즈-엔(가아제),10cm*10cm*8겹 5매*20포/1EA,6600,platpharm,2409260048120272
거즈/붕대/탈지면,수성 탈지면(곽포장),20g/1EA,600,platpharm,2409260121260345
거즈/붕대/탈지면,뉴 수성탄력붕대-S 3인치,7.5*190*12개입/1EA,5200,platpharm,2409260102320282
거즈/붕대/탈지면,수성 탈지면,50g/1EA,900,platpharm,2409260118540340
거즈/붕대/탈지면,뉴 수성탄력붕대-S 4인치,10*190*12개입/1EA,6500,platpharm,2409260103470285
거즈/붕대/탈지면,3M 코반 1582(접착식 탄력붕대),5cm*4.5m / 1EA,2169,platpharm,2502270222400148
거즈/붕대/탈지면,성진탈지면 M,50g / 1EA,800,platpharm,2411150607342068
거즈/붕대/탈지면,상공 압축 탈지면(절단솜),20g/1EA,948,platpharm,2410250143530928
거즈/붕대/탈지면,이케어 멸균거즈 3호,7.5cm*7.5cm*8겹/5매*20포,4660,platpharm,2407080438210067
거즈/붕대/탈지면,뉴 수성탄력붕대-S 2인치,5cm*190cm*12개입/1EA,4000,platpharm,2409260100580280
거즈/붕대/탈지면,상공멸균거즈(소),5cm*5cm*8겹/5매*20EA,7280,platpharm,2410250158380948
거즈/붕대/탈지면,3M 코반 1581(접착식 탄력붕대),2.5cm*4.5m / 1EA,7080,platpharm,25040401545924767
