mall_name,event_title,duration,benefit_summary,detail_url,thumbnail_url,target,detail_images
Baropharm,🎉바로팜💊필렌즈 2만한 선택💟 이미지,"2026-03-30
                    ~
                    2026-04-30",바로팜 이벤트,https://www.baropharm.com/events/16100,https://i.baropharm.com/event/e535d3d8-7337-4d9d-ac59-896ca8d758ca.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜💊필렌즈 2만한 선택💟 이미지_202603_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜💊필렌즈 2만한 선택💟 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜💊필렌즈 2만한 선택💟 이미지_3.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜💊필렌즈 2만한 선택💟 이미지_4.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜💊필렌즈 2만한 선택💟 이미지_5.jpg
Baropharm,📝 전문가상담 리포트 이미지,"2026-03-30
                    ~
                    2026-12-31",바로팜 이벤트,https://www.baropharm.com/events/16098,https://i.baropharm.com/event/d006e9b3-fc2b-4acc-bef1-cbd8831cb0fa.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\📝 전문가상담 리포트 이미지_202604_1.gif|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\📝 전문가상담 리포트 이미지_2.jpg
Baropharm,[드림에어] 4월 봄맞이 월간이벤트💐 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16032,https://i.baropharm.com/event/1ac4f2c5-f2cc-4bb2-a7dd-eeb610145b79.jpg?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[드림에어] 4월 봄맞이 월간이벤트💐 이미지_202604_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\[드림에어] 4월 봄맞이 월간이벤트💐 이미지_2.jpg
Baropharm,🎉Baro멤버십 유지혜택 2분기 🎁 이미지,"2026-03-12
                    ~
                    2026-06-30",바로팜 이벤트,https://www.baropharm.com/events/15798,https://i.baropharm.com/event/1d01e287-5679-41c4-abbf-4a5a55282f74.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉Baro멤버십 유지혜택 2분기 🎁 이미지_202410_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉Baro멤버십 유지혜택 2분기 🎁 이미지_2.jpg
Baropharm,🎉바로팜🏥BPCS(처방전달솔루션) 이미지,"2026-03-04
                    ~
                    2126-03-31",바로팜 이벤트,https://www.baropharm.com/events/15630,https://i.baropharm.com/event/93fd22a9-8551-4689-88d2-4cd6ae46908f.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜🏥BPCS(처방전달솔루션) 이미지_202404_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜🏥BPCS(처방전달솔루션) 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜🏥BPCS(처방전달솔루션) 이미지_3.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜🏥BPCS(처방전달솔루션) 이미지_4.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉바로팜🏥BPCS(처방전달솔루션) 이미지_5.jpg
Baropharm,🎉 연동몰 통합주문서비스 이미지,"2026-02-12
                    ~
                    2030-02-28",바로팜 이벤트,https://www.baropharm.com/events/15374,https://i.baropharm.com/event/3086de6b-424d-41ed-b768-1d133eb16f39.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉 연동몰 통합주문서비스 이미지_202604_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉 연동몰 통합주문서비스 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉 연동몰 통합주문서비스 이미지_3.jpg
Baropharm,"셀트리온 더마 솔루션 ""지피덤"" 입점 이벤트 이미지","2026-02-11
                    ~
                    2026-05-01",브랜드관 이벤트,https://www.baropharm.com/events/15341,https://i.baropharm.com/event/ab46a1a4-b6e5-4963-8961-e6455986fa59.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\셀트리온 더마 솔루션 _지피덤_ 입점 이벤트 이미지_202602_1.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\셀트리온 더마 솔루션 _지피덤_ 입점 이벤트 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\셀트리온 더마 솔루션 _지피덤_ 입점 이벤트 이미지_3.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\셀트리온 더마 솔루션 _지피덤_ 입점 이벤트 이미지_4.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\셀트리온 더마 솔루션 _지피덤_ 입점 이벤트 이미지_5.jpg
Baropharm,🎉팜올플러스📚약사는 처음이지😉 이미지,"2026-02-11
                    ~
                    2126-03-31",팜올플러스 이벤트,https://www.baropharm.com/events/15303,https://i.baropharm.com/event/e4cf6abd-b83e-4806-a161-397a8735a8b1.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚약사는 처음이지😉 이미지_202604_1.gif|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚약사는 처음이지😉 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚약사는 처음이지😉 이미지_3.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚약사는 처음이지😉 이미지_4.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚약사는 처음이지😉 이미지_5.jpg
Baropharm,🎉팜올플러스📚에듀플러스 이미지,"2026-02-11
                    ~
                    2126-03-31",팜올플러스 이벤트,https://www.baropharm.com/events/15302,https://i.baropharm.com/event/f31d47f2-0273-4ca9-bec5-bb6f694e4676.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚에듀플러스 이미지_202603_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚에듀플러스 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚에듀플러스 이미지_3.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚에듀플러스 이미지_4.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🎉팜올플러스📚에듀플러스 이미지_5.jpg
Baropharm,🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지,"2026-02-09
                    ~
                    2026-05-01",커뮤니티 이벤트,https://www.baropharm.com/events/15268,https://i.baropharm.com/event/f5bf28cf-ecbe-4ee0-ae5f-6f9e2b541872.png?&w=752&q=95,,C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지_202604_1.png|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지_2.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지_3.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지_4.jpg|C:\Users\picoi\Desktop\Projects\quasi_drug\data\baropharm\events\🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지_5.jpg
